block_id,residential_units,population,jobs10,jobs11,x,y
7543059,2.0,2.0,192.0,186.0,-93.2412925243377,44.9587654926058
7544724,0.0,0.0,35.0,0.0,-93.2339097298444,44.9536817723307
7549705,0.0,0.0,0.0,0.0,-93.2315233362309,44.9536863997615
7556848,0.0,0.0,0.0,0.0,-93.2277075742727,44.9536128663623
7551664,0.0,0.0,0.0,0.0,-93.2021080106961,44.9446863795862
7554023,0.0,0.0,0.0,0.0,-93.2033296651602,44.9442786264746
7551666,0.0,0.0,0.0,0.0,-93.2035940576955,44.9424858463559
7556416,0.0,0.0,0.0,0.0,-93.2093818712773,44.9441953993987
7554019,77.0,121.0,70.0,83.0,-93.2067923597811,44.9494339623391
7544474,29.0,60.0,19.0,11.0,-93.2095397058235,44.9492563697084
7512709,23.0,49.0,21.0,21.0,-93.2108179784579,44.9492563483881
7549170,25.0,49.0,43.0,50.0,-93.2120965776681,44.9492571061172
7551653,26.0,54.0,11.0,9.0,-93.2133655667946,44.9492579151965
2573515,25.0,57.0,2.0,2.0,-93.2146399518743,44.9492591009119
7556391,23.0,41.0,10.0,12.0,-93.2159185997811,44.9492602150819
7550352,0.0,0.0,0.0,0.0,-93.299363539299,44.9501689593011
7547944,0.0,0.0,0.0,0.0,-93.3014761551561,44.9501908567406
7550344,0.0,0.0,1.0,0.0,-93.3028180423968,44.9502187006384
7547940,0.0,0.0,1.0,0.0,-93.3041660854428,44.9502823505305
7547942,0.0,0.0,0.0,0.0,-93.3040522527402,44.9501437316111
7547941,0.0,0.0,0.0,0.0,-93.302704780409,44.9500406836475
7547774,0.0,0.0,0.0,0.0,-93.3014731443243,44.9500120112744
7551694,31.0,65.0,0.0,2.0,-93.2146451771999,44.9441557778011
7551695,36.0,79.0,0.0,2.0,-93.2146503701996,44.9423598034468
7546019,24.0,55.0,17.0,26.0,-93.2120644157031,44.9423846859691
7547946,0.0,0.0,0.0,0.0,-93.299607706912,44.949997716191
7550239,0.0,0.0,0.0,0.0,-93.305447390142,44.9491959578931
7550346,33.0,88.0,40.0,37.0,-93.3027889336161,44.9456605819942
7540875,42.0,77.0,23.0,19.0,-93.3015081482561,44.9456533981912
7552741,38.0,77.0,3.0,6.0,-93.3002294465893,44.9456447774163
7540562,129.0,180.0,23.0,18.0,-93.2989491022158,44.9456356188714
7542902,45.0,84.0,16.0,17.0,-93.298966274041,44.943798135587
7539955,0.0,0.0,0.0,0.0,-93.2436212182291,44.9470237984433
7542169,33.0,61.0,1.0,2.0,-93.242925934366,44.9404428227633
7542168,0.0,0.0,0.0,0.0,-93.2442002476399,44.9421398448824
7556280,0.0,0.0,0.0,0.0,-93.2380065553584,44.9474851478906
7545468,0.0,0.0,0.0,0.0,-93.2385152804603,44.9471687264728
7545499,0.0,0.0,0.0,0.0,-93.2367529453337,44.945464834094
7552127,61.0,158.0,25.0,31.0,-93.2480497224802,44.9474676468536
7552125,43.0,89.0,16.0,2.0,-93.2493154111353,44.9474657110015
7549735,33.0,105.0,0.0,3.0,-93.2493112800926,44.9438411418598
7546365,28.0,84.0,22.0,45.0,-93.2480232821988,44.9421366544384
7538013,36.0,73.0,2.0,2.0,-93.2480116780051,44.9404432683945
7546787,0.0,0.0,0.0,0.0,-93.234958751884,44.9430779277304
7546549,81.0,199.0,3.0,1.0,-93.2397724835034,44.9456629814067
7551405,42.0,98.0,1.0,1.0,-93.2414594974353,44.9438524043382
7554399,24.0,41.0,7.0,9.0,-93.2236359739769,44.9476022474622
7551634,32.0,66.0,16.0,7.0,-93.2397382309705,44.9404444214834
7553570,0.0,0.0,0.0,0.0,-93.2329335783907,44.940003370113
7552015,0.0,0.0,0.0,0.0,-93.2317317946578,44.9382696172691
7544444,28.0,53.0,33.0,26.0,-93.2414132505988,44.9386395872932
7543870,51.0,101.0,68.0,68.0,-93.2397227529969,44.9386381201756
7552593,20.0,65.0,23.0,21.0,-93.2327467601711,44.9386187728772
7549225,0.0,0.0,2.0,0.0,-93.2297767013111,44.9354622241609
7544439,13.0,26.0,23.0,17.0,-93.2397275242549,44.9363776332912
